gameid,name
858710,gravity-circuit
590380,into-the-breach
646570,slay-the-spire
223830,xenonauts
203160,tomb-raider
250760,shovel-knight
774361,blasphemous
241600,rogue-legacy
861250,cyber-shadow
416600,full-metal-furies
200510,xcom
814370,monster-sanctuary
985890,streets-of-rage-4
